# OpenSignals Text File Format. Version 1
# {"20:15:05:29:22:23": {"sensor": ["EMGBIT", "EDABIT", "ECGBIT"], "device name": "20:15:05:29:22:23", "column": ["nSeq", "I1", "I2", "I3", "I4", "EMG", "EDA", "ECG"], "sync interval": 2, "time": "13:17:8.207", "comments": "", "device connection": "/dev/tty.bitalino-DevB", "channels": [1, 2, 3], "keywords": "", "mode": 0, "digital IO": [0, 0, 0, 0, 1, 1, 1, 1], "firmware version": 771, "device": "bitalino", "position": 0, "sampling rate": 1000, "label": ["EMG", "EDA", "ECG"], "resolution": [4, 1, 1, 1, 1, 10, 10, 10], "date": "2020-1-8", "special": [{}, {}, {}]}}
# EndOfHeader
1	0	0	0	0	0	387	337	
2	0	0	0	0	0	387	358	
3	0	0	0	0	0	387	384	
4	0	0	0	0	0	387	408	
5	0	0	0	0	0	387	440	
6	0	0	0	0	0	387	470	
7	0	0	0	0	0	387	499	
8	0	0	0	0	0	387	529	
9	0	0	0	0	0	387	556	
10	0	0	0	0	0	387	575	
11	0	0	0	0	0	385	591	
12	0	0	0	0	0	385	600	
13	0	0	0	0	0	385	600	
14	0	0	0	0	0	385	591	
15	0	0	0	0	0	385	575	
0	0	0	0	0	0	385	556	
1	0	0	0	0	0	385	527	
2	0	0	0	0	0	385	497	
3	0	0	0	0	0	385	463	
4	0	0	0	0	0	384	432	
5	0	0	0	0	0	384	399	
6	0	0	0	0	0	384	368	
7	0	0	0	0	0	384	337	
8	0	0	0	0	0	384	312	
9	0	0	0	0	0	384	287	
10	0	0	0	0	0	384	263	
11	0	0	0	0	0	384	243	
12	0	0	0	0	0	384	224	
13	0	0	0	0	0	384	207	
14	0	0	0	0	0	384	192	
15	0	0	0	0	0	384	177	
0	0	0	0	0	0	384	166	
1	0	0	0	0	0	384	153	
2	0	0	0	0	0	384	143	
3	0	0	0	0	0	384	135	
4	0	0	0	0	0	384	127	
5	0	0	0	0	0	384	124	
6	0	0	0	0	0	384	124	
7	0	0	0	0	0	384	124	
8	0	0	0	0	0	384	127	
9	0	0	0	0	0	384	134	
10	0	0	0	0	0	384	142	
11	0	0	0	0	0	384	152	
12	0	0	0	0	0	384	163	
13	0	0	0	0	0	384	176	
14	0	0	0	0	0	384	192	
15	0	0	0	0	0	384	204	
